DATE,CPALTT01USQ657N
1/1/1960,-0.340136054
2/1/1960,0.341296928
3/1/1960,0
4/1/1960,0.340136054
5/1/1960,0
6/1/1960,0.338983051
7/1/1960,0
8/1/1960,0
9/1/1960,0
10/1/1960,0.675675676
11/1/1960,0
12/1/1960,0
1/1/1961,0
2/1/1961,0
3/1/1961,0
4/1/1961,0
5/1/1961,0
6/1/1961,0
7/1/1961,0.67114094
8/1/1961,-0.333333333
9/1/1961,0.334448161
10/1/1961,0
11/1/1961,0
12/1/1961,0
1/1/1962,0
2/1/1962,0.333333333
3/1/1962,0
4/1/1962,0.332225914
5/1/1962,0
6/1/1962,0
7/1/1962,0.331125828
8/1/1962,0
9/1/1962,0.330033003
10/1/1962,0
11/1/1962,0
12/1/1962,0
1/1/1963,0
2/1/1963,0
3/1/1963,0.328947368
4/1/1963,0
5/1/1963,0
6/1/1963,0.327868852
7/1/1963,0.326797386
8/1/1963,0
9/1/1963,0
10/1/1963,0.325732899
11/1/1963,0
12/1/1963,0.324675325
1/1/1964,0
2/1/1964,0
3/1/1964,0
4/1/1964,0
5/1/1964,0
6/1/1964,0.323624595
7/1/1964,0.322580645
8/1/1964,-0.321543408
9/1/1964,0.322580645
10/1/1964,0
11/1/1964,0.321543408
12/1/1964,0
1/1/1965,0
2/1/1965,0
3/1/1965,0.320512821
4/1/1965,0.319488818
5/1/1965,0
6/1/1965,0.636942675
7/1/1965,0
8/1/1965,0
9/1/1965,0
10/1/1965,0.316455696
11/1/1965,0
12/1/1965,0.315457413
1/1/1966,0
2/1/1966,0.628930818
3/1/1966,0.3125
4/1/1966,0.62305296
5/1/1966,0
6/1/1966,0.309597523
7/1/1966,0.308641975
8/1/1966,0.615384615
9/1/1966,0
10/1/1966,0.611620795
11/1/1966,0
12/1/1966,0
1/1/1967,0
2/1/1967,0
3/1/1967,0.303951368
4/1/1967,0.303030303
5/1/1967,0.302114804
6/1/1967,0.301204819
7/1/1967,0.3003003
8/1/1967,0.299401198
9/1/1967,0.298507463
10/1/1967,0.297619048
11/1/1967,0.296735905
12/1/1967,0.295857988
1/1/1968,0.589970501
2/1/1968,0.293255132
3/1/1968,0.292397661
4/1/1968,0.29154519
5/1/1968,0.290697674
6/1/1968,0.579710145
7/1/1968,0.576368876
8/1/1968,0.286532951
9/1/1968,0.285714286
10/1/1968,0.56980057
11/1/1968,0.283286119
12/1/1968,0.282485876
1/1/1969,0.281690141
2/1/1969,0.561797753
3/1/1969,0.837988827
4/1/1969,0.55401662
5/1/1969,0.275482094
6/1/1969,0.549450549
7/1/1969,0.546448087
8/1/1969,0.543478261
9/1/1969,0.27027027
10/1/1969,0.539083558
11/1/1969,0.536193029
12/1/1969,0.533333333
1/1/1970,0.265251989
2/1/1970,0.529100529
3/1/1970,0.526315789
4/1/1970,0.785340314
5/1/1970,0.25974026
6/1/1970,0.518134715
7/1/1970,0.515463918
8/1/1970,0
9/1/1970,0.512820513
10/1/1970,0.510204082
11/1/1970,0.507614213
12/1/1970,0.505050505
1/1/1971,0
2/1/1971,0.251256281
3/1/1971,0.250626566
4/1/1971,0.25
5/1/1971,0.498753117
6/1/1971,0.744416873
7/1/1971,0.246305419
8/1/1971,0.245700246
9/1/1971,0
10/1/1971,0.245098039
11/1/1971,0
12/1/1971,0.488997555
1/1/1972,0
2/1/1972,0.486618005
3/1/1972,0.242130751
4/1/1972,0.241545894
5/1/1972,0.240963855
6/1/1972,0.240384615
7/1/1972,0.479616307
8/1/1972,0.238663484
9/1/1972,0.238095238
10/1/1972,0.475059382
11/1/1972,0.236406619
12/1/1972,0.235849057
1/1/1973,0.235294118
2/1/1973,0.704225352
3/1/1973,0.932400932
4/1/1973,0.692840647
5/1/1973,0.688073394
6/1/1973,0.683371298
7/1/1973,0.226244344
8/1/1973,1.805869074
9/1/1973,0.22172949
10/1/1973,0.884955752
11/1/1973,0.657894737
12/1/1973,0.653594771
1/1/1974,0.865800866
2/1/1974,1.287553648
3/1/1974,1.271186441
4/1/1974,0.418410042
5/1/1974,1.25
6/1/1974,0.823045267
7/1/1974,0.816326531
8/1/1974,1.214574899
9/1/1974,1.2
10/1/1974,0.988142292
11/1/1974,0.782778865
12/1/1974,0.776699029
1/1/1975,0.385356455
2/1/1975,0.767754319
3/1/1975,0.380952381
4/1/1975,0.379506641
5/1/1975,0.56710775
6/1/1975,0.751879699
7/1/1975,1.119402985
8/1/1975,0.184501845
9/1/1975,0.552486188
10/1/1975,0.549450549
11/1/1975,0.72859745
12/1/1975,0.361663653
1/1/1976,0.18018018
2/1/1976,0.35971223
3/1/1976,0.17921147
4/1/1976,0.357781753
5/1/1976,0.713012478
6/1/1976,0.530973451
7/1/1976,0.528169014
8/1/1976,0.525394046
9/1/1976,0.348432056
10/1/1976,0.520833333
11/1/1976,0.172711572
12/1/1976,0.344827586
1/1/1977,0.515463918
2/1/1977,1.025641026
3/1/1977,0.676818951
4/1/1977,0.840336134
5/1/1977,0.5
6/1/1977,0.663349917
7/1/1977,0.494233937
8/1/1977,0.327868852
9/1/1977,0.326797386
10/1/1977,0.325732899
11/1/1977,0.487012987
12/1/1977,0.323101777
1/1/1978,0.644122383
2/1/1978,0.64
3/1/1978,0.79491256
4/1/1978,0.788643533
5/1/1978,0.938967136
6/1/1978,1.085271318
7/1/1978,0.766871166
8/1/1978,0.456621005
9/1/1978,0.757575758
10/1/1978,0.902255639
11/1/1978,0.44709389
12/1/1978,0.445103858
1/1/1979,0.886262925
2/1/1979,1.171303075
3/1/1979,1.013024602
4/1/1979,1.146131805
5/1/1979,1.274787535
6/1/1979,1.118881119
7/1/1979,1.106500692
8/1/1979,0.957592339
9/1/1979,1.08401084
10/1/1979,0.804289544
11/1/1979,0.930851064
12/1/1979,1.054018445
1/1/1980,1.434159061
2/1/1980,1.413881748
3/1/1980,1.520912548
4/1/1980,1.123595506
5/1/1980,0.987654321
6/1/1980,1.100244499
7/1/1980,0
8/1/1980,0.725513906
9/1/1980,0.840336134
10/1/1980,0.952380952
11/1/1980,0.825471698
12/1/1980,0.935672515
1/1/1981,0.811123986
2/1/1981,1.034482759
3/1/1981,0.682593857
4/1/1981,0.677966102
5/1/1981,0.785634119
6/1/1981,0.890868597
7/1/1981,1.103752759
8/1/1981,0.76419214
9/1/1981,0.975081257
10/1/1981,0.214592275
11/1/1981,0.321199143
12/1/1981,0.320170758
1/1/1982,0.319148936
2/1/1982,0.318133616
3/1/1982,-0.105708245
4/1/1982,0.423280423
5/1/1982,0.948366702
6/1/1982,1.252609603
7/1/1982,0.515463918
8/1/1982,0.205128205
9/1/1982,0.204708291
10/1/1982,0.306435138
11/1/1982,-0.203665988
12/1/1982,-0.408163265
1/1/1983,0.204918033
2/1/1983,0.102249489
3/1/1983,0
4/1/1983,0.715015322
5/1/1983,0.60851927
6/1/1983,0.302419355
7/1/1983,0.40201005
8/1/1983,0.3003003
9/1/1983,0.499001996
10/1/1983,0.297914598
11/1/1983,0.198019802
12/1/1983,0.098814229
1/1/1984,0.592300099
2/1/1984,0.490677134
3/1/1984,0.1953125
4/1/1984,0.487329435
5/1/1984,0.290979631
6/1/1984,0.290135397
7/1/1984,0.385728062
8/1/1984,0.384245917
9/1/1984,0.4784689
10/1/1984,0.285714286
11/1/1984,0
12/1/1984,0
1/1/1985,0.189933523
2/1/1985,0.473933649
3/1/1985,0.377358491
4/1/1985,0.469924812
5/1/1985,0.374181478
6/1/1985,0.279589935
7/1/1985,0.185873606
8/1/1985,0.185528757
9/1/1985,0.277777778
10/1/1985,0.369344414
11/1/1985,0.27598896
12/1/1985,0.275229358
1/1/1986,0.274473925
2/1/1986,-0.273722628
3/1/1986,-0.457456542
4/1/1986,-0.183823529
5/1/1986,0.276243094
6/1/1986,0.550964187
7/1/1986,0
8/1/1986,0.182648402
9/1/1986,0.455788514
10/1/1986,0.090744102
11/1/1986,0.090661831
12/1/1986,0.09057971
1/1/1987,0.633484163
2/1/1987,0.35971223
3/1/1987,0.448028674
4/1/1987,0.535236396
5/1/1987,0.354924579
6/1/1987,0.353669319
7/1/1987,0.264317181
8/1/1987,0.527240773
9/1/1987,0.524475524
10/1/1987,0.260869565
11/1/1987,0.086730269
12/1/1987,0
1/1/1988,0.259965338
2/1/1988,0.259291271
3/1/1988,0.431034483
4/1/1988,0.515021459
5/1/1988,0.341588386
6/1/1988,0.425531915
7/1/1988,0.423728814
8/1/1988,0.421940928
9/1/1988,0.672268908
10/1/1988,0.333889816
11/1/1988,0.083194676
12/1/1988,0.166251039
1/1/1989,0.497925311
2/1/1989,0.412881916
3/1/1989,0.575657895
4/1/1989,0.654129191
5/1/1989,0.568643379
6/1/1989,0.242326333
7/1/1989,0.241740532
8/1/1989,0.160771704
9/1/1989,0.321027287
10/1/1989,0.48
11/1/1989,0.238853503
12/1/1989,0.158856235
1/1/1990,1.030927835
2/1/1990,0.470957614
3/1/1990,0.546875
4/1/1990,0.155400155
5/1/1990,0.232738557
6/1/1990,0.541795666
7/1/1990,0.38491147
8/1/1990,0.920245399
9/1/1990,0.835866261
10/1/1990,0.602863602
11/1/1990,0.224719101
12/1/1990,0
1/1/1991,0.597907324
2/1/1991,0.14858841
3/1/1991,0.148367953
4/1/1991,0.148148148
5/1/1991,0.295857988
6/1/1991,0.294985251
7/1/1991,0.147058824
8/1/1991,0.293685756
9/1/1991,0.439238653
10/1/1991,0.145772595
11/1/1991,0.291120815
12/1/1991,0.07256894
1/1/1992,0.145032632
2/1/1992,0.362056481
3/1/1992,0.505050505
4/1/1992,0.143575018
5/1/1992,0.143369176
6/1/1992,0.357909807
7/1/1992,0.213980029
8/1/1992,0.284697509
9/1/1992,0.283889283
10/1/1992,0.353857042
11/1/1992,0.141043724
12/1/1992,-0.070422535
1/1/1993,0.493305144
2/1/1993,0.350631136
3/1/1993,0.34940601
4/1/1993,0.278551532
5/1/1993,0.138888889
6/1/1993,0.138696255
7/1/1993,0
8/1/1993,0.27700831
9/1/1993,0.20718232
10/1/1993,0.413507926
11/1/1993,0.06863418
12/1/1993,0
1/1/1994,0.274348422
2/1/1994,0.341997264
3/1/1994,0.340831629
4/1/1994,0.135869565
5/1/1994,0.067842605
6/1/1994,0.338983051
7/1/1994,0.27027027
8/1/1994,0.404312668
9/1/1994,0.268456376
10/1/1994,0.066934404
11/1/1994,0.133779264
12/1/1994,0
1/1/1995,0.400801603
2/1/1995,0.399201597
3/1/1995,0.331345262
4/1/1995,0.330250991
5/1/1995,0.197498354
6/1/1995,0.197109067
7/1/1995,0
8/1/1995,0.262295082
9/1/1995,0.196206671
10/1/1995,0.326370757
11/1/1995,-0.065061809
12/1/1995,-0.065104167
1/1/1996,0.586319218
2/1/1996,0.323834197
3/1/1996,0.516462234
4/1/1996,0.385356455
5/1/1996,0.19193858
6/1/1996,0.06385696
7/1/1996,0.191448628
8/1/1996,0.191082803
