DATE,CPMNACSCAB1GQPL
1/1/1995,81098.3
4/1/1995,85194.4
7/1/1995,90036.2
10/1/1995,89022.4
1/1/1996,100310.5
4/1/1996,105480
7/1/1996,110526.2
10/1/1996,115189.2
1/1/1997,122077.6
4/1/1997,127910
7/1/1997,132876.9
10/1/1997,137822.3
1/1/1998,144715.8
4/1/1998,148713.7
7/1/1998,153340.9
10/1/1998,156687.8
1/1/1999,158307.9
4/1/1999,164098.5
7/1/1999,170263
10/1/1999,178695.1
1/1/2000,181261.5
4/1/2000,185764.9
7/1/2000,189016.5
10/1/2000,191990.3
1/1/2001,192503.4
4/1/2001,195314.1
7/1/2001,196923
10/1/2001,198039.5
1/1/2002,201983.9
4/1/2002,201869.8
7/1/2002,204290.9
10/1/2002,205044.1
1/1/2003,206103.2
4/1/2003,210837.2
7/1/2003,213395.2
10/1/2003,217044.4
1/1/2004,225820.2
4/1/2004,229596.4
7/1/2004,234291.6
10/1/2004,242145.5
1/1/2005,242201.8
4/1/2005,247035.3
7/1/2005,250186.6
10/1/2005,250943.9
1/1/2006,257461
4/1/2006,262454.5
7/1/2006,270751.5
10/1/2006,277774.7
1/1/2007,285346.4
4/1/2007,293116.5
7/1/2007,299204.1
10/1/2007,308877.8
1/1/2008,314789.7
4/1/2008,319176.3
7/1/2008,323331.5
10/1/2008,327405.2
1/1/2009,336770.9
4/1/2009,338707.3
7/1/2009,344724.8
10/1/2009,348706.4
1/1/2010,347641.8
4/1/2010,356049.2
7/1/2010,361425.5
10/1/2010,366995.7
1/1/2011,377886.1
4/1/2011,383468.2
7/1/2011,390542.1
10/1/2011,398772.5
1/1/2012,400231.6
4/1/2012,403785.6
7/1/2012,404899.7
10/1/2012,402489.9
1/1/2013,401379.1
4/1/2013,405450
7/1/2013,407692.9
10/1/2013,415470.6
1/1/2014,420152.9
4/1/2014,423103.2
7/1/2014,429138.2
10/1/2014,427477.8
1/1/2015,439134.8
4/1/2015,444754.9
7/1/2015,450030.2
10/1/2015,460844.1
1/1/2016,455006.6
4/1/2016,461470.7
7/1/2016,464863
10/1/2016,473049.8
1/1/2017,484839.6
4/1/2017,491360.5
7/1/2017,499720.1
10/1/2017,506445.7
1/1/2018,517005.2
4/1/2018,524848.3
7/1/2018,535837.5
10/1/2018,547154.7
1/1/2019,557612.2
4/1/2019,570192.6
7/1/2019,571772.8
10/1/2019,586153.5
1/1/2020,594132.7
4/1/2020,548091.4
7/1/2020,584505.6
10/1/2020,608971.1
1/1/2021,629809.9
4/1/2021,645376.9
7/1/2021,653861.3
10/1/2021,693611.5
1/1/2022,731235.5
4/1/2022,752015
7/1/2022,765256.4
